Overall,Bib,Name,Time,Year
1,1,Scott Wietecha,02:28:16,2018
2,3,Garang Madut,02:29:52,2018
3,33442,Kevin Fink,02:38:59,2018
4,33441,Andrew Hodges,02:43:59,2018
5,30028,Nicholas Aubert,02:48:11,2018
6,30038,Dan Shafer,02:49:00,2018
7,30099,Jacob Rainey,02:51:46,2018
8,33712,Ry Glover,02:53:17,2018
9,11,Stella Christoforou,02:53:44,2018
10,30052,Tyler Hallenbeck,02:56:21,2018
11,30057,Jansen Hein,02:56:23,2018
12,33448,Christopher Harrington,02:56:48,2018
13,30050,James Nabholz,02:57:03,2018
14,30039,Jared Daedler,02:57:36,2018
15,30096,Nicholas Tseffos,02:59:35,2018
16,30107,Thomas Aliff,02:59:41,2018
17,30040,Jeremy Riehm,03:01:41,2018
18,30058,Greg Jones,03:02:12,2018
19,30135,Jack Burger,03:02:17,2018
20,30048,Edgar Garza,03:05:40,2018
21,10,Heather Crowe,03:07:46,2018
22,33452,Cristina Noble,03:08:21,2018
23,30153,Dan Williams,03:09:33,2018
24,30117,Eddie Bell,03:09:39,2018
25,30395,Emanuel Loreant,03:10:23,2018
26,30095,Jeffrey Olive,03:10:28,2018
27,30211,Jacqueline Gottuso,03:10:50,2018
28,30249,Eric Shrestha,03:11:27,2018
29,30059,Brandon Foley,03:12:17,2018
30,30131,Matt Hunt,03:12:34,2018
31,30281,Thomas Cirillo,03:12:37,2018
32,30132,Shawn Husband,03:14:03,2018
33,30129,Mudhillun Muqaribu,03:15:11,2018
34,33449,Scott Eiselt,03:15:22,2018
35,30069,Kevin Laury,03:15:33,2018
36,33460,Mahlon Hellman,03:16:17,2018
37,30399,Patrick Sweatt,03:16:32,2018
38,30221,Michelle Fogle,03:17:44,2018
39,30182,Tatsuki Koyama,03:18:24,2018
40,33485,David Jones,03:18:26,2018
40,30051,Aaron O'Keeffe,03:18:26,2018
42,30227,Dalton Stubbs,03:18:31,2018
43,30084,Andrew Morris,03:19:04,2018
44,33472,Nick Pitts,03:19:05,2018
45,30239,Michael Ibanez,03:19:15,2018
46,30253,Katelyn Storey,03:19:26,2018
47,33451,Kevin Walker,03:19:28,2018
48,30064,Ubaldo Hurtado,03:19:58,2018
49,30126,Vic Ciancetta,03:20:07,2018
50,30164,Jay Mitchell,03:20:17,2018
51,30329,Donald Paull,03:21:06,2018
52,30183,Andrew Thai,03:21:15,2018
53,30870,Tim Roetman,03:21:25,2018
54,30103,Ayub Odera,03:21:35,2018
55,30165,Ryan Folkert,03:21:53,2018
56,30120,Sean Cooper,03:21:58,2018
57,30123,Javier Rusinque,03:22:02,2018
58,30063,Todd Reynolds,03:22:04,2018
59,30187,Robert Harris,03:22:23,2018
60,30217,John Willis,03:22:27,2018
61,30497,Armando Galvez Rico,03:22:30,2018
62,30179,Daniel Salmon,03:22:43,2018
63,30391,Kevin Harris,03:22:48,2018
64,30175,Vincent Manier,03:23:18,2018
65,30198,Alan Arpon,03:23:19,2018
66,30252,Diego Ruiz,03:23:22,2018
67,30667,Jeff Woody,03:23:27,2018
68,30176,Matt Pesavento,03:23:44,2018
69,33474,Gilbert Varela,03:23:46,2018
70,30152,Sam Miller,03:24:21,2018
71,30367,Andy Kump,03:24:33,2018
72,30580,Aly Schenavar,03:25:26,2018
73,31026,Sonny Tufano,03:25:43,2018
74,30140,Brian Wright,03:26:10,2018
75,30385,James Lowe,03:26:15,2018
76,33468,Samuel Smith,03:26:24,2018
77,30236,Jonathan Lister,03:26:47,2018
78,30208,Susie Aames,03:27:13,2018
79,30528,Chris Norris,03:27:30,2018
80,30201,Will Westhoff,03:27:42,2018
81,30409,Matthew Pires,03:27:48,2018
82,30092,Brad Whitley,03:27:55,2018
83,30251,Beau Baggett,03:28:27,2018
84,30821,Steven Vargas,03:28:36,2018
85,33651,Jeremy Lister,03:28:40,2018
86,30316,Devin Ray,03:28:52,2018
86,30608,Benjamin French,03:28:52,2018
88,30439,Lydia Calahan,03:28:58,2018
89,30326,Katherine Ainsworth,03:29:00,2018
90,30378,Josh Leitner,03:29:07,2018
91,30412,Leonardo Sánchez,03:29:20,2018
92,33476,Charles Sisk,03:29:49,2018
93,30303,Tess Vorselen,03:29:58,2018
94,30495,Craig Findlay,03:30:05,2018
95,31053,Jillian Roberts,03:30:30,2018
96,30181,Charles Shackelford,03:30:31,2018
97,30216,Maura Stacey,03:30:36,2018
98,30557,Carmen Camp,03:30:40,2018
99,31022,Blake Phillips,03:30:43,2018
100,33495,Grant Stubblefield,03:30:53,2018
101,30512,Jennifer Murray,03:30:54,2018
102,30163,Peter Shreffler,03:31:04,2018
103,30707,Ellen Williamson,03:31:05,2018
103,31240,Adam Klenk,03:31:05,2018
105,31444,Kyle Young,03:31:28,2018
106,30394,Jason Toot,03:31:50,2018
107,30145,Eric Parker,03:32:07,2018
108,32051,Alexandra Vincenti,03:32:09,2018
109,30375,Dan Duffy,03:32:10,2018
110,30434,Emma Locke,03:32:13,2018
111,30203,Joe Wiltsey,03:32:26,2018
112,30392,Patrick Madl,03:32:34,2018
113,30254,Rachel Polk,03:32:37,2018
114,30451,Carl Ostrowski,03:32:46,2018
115,30411,Vicente Rodriguez,03:32:47,2018
116,30623,Kayla Whitley,03:33:22,2018
117,30406,Katie Schubauer,03:33:45,2018
117,33715,Alia Karaman,03:33:45,2018
119,30090,Brian Germano,03:33:50,2018
120,30098,Edwin Reyes,03:33:52,2018
121,33473,Mark Clyburn,03:33:58,2018
122,33487,Brian Steel,03:34:37,2018
123,30060,Tien Le,03:34:43,2018
124,30356,Drew Belnick,03:34:55,2018
125,30056,Kevin Mckenna,03:35:09,2018
126,30174,Nicholas Avello,03:35:12,2018
127,30247,Olivia Dibiasio,03:35:14,2018
128,30502,Kristen Bednar,03:35:45,2018
129,30157,Matthew Mehalko,03:35:49,2018
130,30638,Garrett Bauman,03:35:52,2018
131,30323,Brian Hoffart,03:35:55,2018
132,30314,Trever Griswold,03:36:01,2018
133,30704,Nicole Gillis,03:36:03,2018
134,30207,Meredith Smith,03:36:09,2018
135,30506,Wesley King,03:36:11,2018
135,30381,Scott Wloszczynski,03:36:11,2018
137,30590,Daniel Pluard,03:36:13,2018
138,30210,Molly Cohen,03:36:16,2018
138,30190,Ryan Kelch,03:36:16,2018
140,30309,Beau Westpfahl,03:36:21,2018
141,30222,Brad Barcusky,03:36:22,2018
142,30484,Amanda Sonnenberg,03:36:28,2018
